date,scrap_type,title,original_title,score,annee,public,genre,saison,time,pays,langue,description
2022-12-14 19:25:04.283362,serie,Jujutsu Kaisen,Jujutsu Kaisen,8.6,2020– ,16+,Animation, 1,24,Japan,Japanese,"A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself..., "
2022-12-14 19:25:49.342944,serie,The Queen's Gambit,The Queen's Gambit,8.6,2020,16+,Drama, 1,1,United States,English,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
2022-12-14 19:25:31.585366,serie,What We Do in the Shadows,What We Do in the Shadows,8.6,2019– ,16+,Comedy, 4,30,United States,English,A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.
2022-12-14 19:25:47.798593,serie,Formula 1: Drive to Survive,Formula 1: Drive to Survive,8.6,2019– ,16+,Documentary, 4,40,United Kingdom,Arabic,Docuseries following the FIA Formula One World Championship across multiple seasons.
2022-12-14 19:24:51.088431,serie,Mr Inbetween,Mr Inbetween,8.6,2018–2021,16+,Crime, 3,30,Australia,English,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
2022-12-14 19:25:54.995508,serie,Pose,Pose,8.6,2018–2021,16+,Drama, 3,1,United States,English,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism."
2022-12-14 19:24:42.714305,serie,My Brilliant Friend,L'amica geniale,8.6,2018– ,16+,Drama, 3,1,Italy,Italian,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.
2022-12-14 19:25:55.655635,serie,The Haunting of Hill House,The Haunting of Hill House,8.6,2018,16+,Drama, 1,572,United States,English,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
2022-12-14 19:26:10.083784,serie,Mindhunter,Mindhunter,8.6,2017–2019,16+,Crime, 2,1,United States,English,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
2022-12-14 19:26:33.509778,serie,Atlanta,Atlanta,8.6,2016–2022,16+,Comedy, 4,30,United States,English,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race,..., "
2022-12-14 19:25:16.825649,serie,Mob Psycho 100,Mob Psycho 100,8.6,2016– ,14+,Animation, 3,24,Japan,Japanese,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
2022-12-14 19:25:24.816125,serie,Mr. Robot,Mr. Robot,8.6,2015–2019,16+,Crime, 4,49,United States,English,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to t..., "
2022-12-14 19:25:58.104098,serie,Making a Murderer,Making a Murderer,8.6,2015–2018,14+,Documentary, 2,1,United States,,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime."
2022-12-14 19:26:30.738282,serie,Daredevil,Daredevil,8.6,2015–2018,16+,Action, 3,54,United States,English,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
2022-12-14 19:25:19.665319,serie,Skam,Skam,8.6,2015–2017,Tous publics,Drama, 4,30,Norway,Norwegian,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point..., "
2022-12-14 19:26:32.824389,serie,The Jinx: The Life and Deaths of Robert Durst,The Jinx: The Life and Deaths of Robert Durst,8.6,2015,14+,Documentary, 1,279,United States,English,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes."
2022-12-14 19:25:05.031031,serie,Detectorists,Detectorists,8.6,2014–2022,14+,Comedy, 3,30,United Kingdom,,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
2022-12-14 19:24:49.153269,serie,Your Lie in April,Shigatsu wa kimi no uso,8.6,2014–2015,Tous publics,Animation,on,23,Japan,,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
2022-12-14 19:24:49.122293,serie,Wentworth,Wentworth,8.6,2013–2021,16+,Crime, 9,45,Australia,English,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.
2022-12-14 19:25:05.409985,serie,Endeavour,Endeavour,8.6,2012–2022,14+,Crime, 8,89,United Kingdom,,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investig..., "
2022-12-14 19:25:53.289747,serie,The Newsroom,The Newsroom,8.6,2012–2014,16+,Drama, 3,55,United States,English,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor."
2022-12-14 19:25:56.796354,serie,The Eric Andre Show,The Eric Andre Show,8.6,2012– ,16+,Comedy, 5,11,United States,,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim."
2022-12-14 19:25:21.698341,serie,Shameless,Shameless,8.6,2011–2021,16+,Comedy,11,46,United States,English,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
2022-12-14 19:26:28.923716,serie,The Bridge,Bron/Broen,8.6,2011–2018,16+,Crime, 4,1,Sweden,Swedish,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find ..., "
2022-12-14 19:25:51.953742,serie,Impractical Jokers,Impractical Jokers,8.6,2011– ,14+,Comedy,on,30,United States,English,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera."
2022-12-14 19:26:14.188110,serie,Adventure Time,Adventure Time,8.6,2010–2018,Tous publics,Animation,10,11,United States,English,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
2022-12-14 19:25:21.371044,serie,Through the Wormhole,Through the Wormhole,8.6,2010–2017,Tous publics,Documentary, 8,1,United States,English,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there bef..., "
2022-12-14 19:25:57.516546,serie,Justified,Justified,8.6,2010–2015,16+,Action, 6,44,United States,English,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky."
2022-12-14 19:25:56.878815,serie,Boardwalk Empire,Boardwalk Empire,8.6,2010–2014,16+,Crime, 5,55,United States,English,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
2022-12-14 19:24:43.775927,serie,The Great British Baking Show,The Great British Bake Off,8.6,2010– ,Tous publics,Reality-TV,13,1,United Kingdom,English,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.
2022-12-14 19:26:41.656886,serie,Parks and Recreation,Parks and Recreation,8.6,2009–2015,14+,Comedy, 7,22,United States,English,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
2022-12-14 19:26:26.498591,serie,Archer,Archer,8.6,2009– ,16+,Animation,13,22,United States,English,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
2022-12-14 19:25:16.606426,serie,Sons of Anarchy,Sons of Anarchy,8.6,2008–2014,16+,Crime, 7,45,United States,English,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
2022-12-14 19:25:44.639850,serie,Flight of the Conchords,Flight of the Conchords,8.6,2007–2009,16+,Comedy, 2,28,United States,English,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
2022-12-14 19:25:07.823104,serie,Doctor Who,Doctor Who,8.6,2005– ,Tous publics,Adventure,13,45,United Kingdom,English,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
2022-12-14 19:25:36.816012,serie,Long Way Round,Long Way Round,8.6,2004–2010,Tous publics,Documentary, 1,315,United Kingdom,English,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongol..., "
2022-12-14 19:26:41.301828,serie,Deadwood,Deadwood,8.6,2004–2006,16+,Crime, 3,55,United States,English,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
2022-12-14 19:25:34.401116,serie,Samurai Champloo,Samurai chanpurû,8.6,2004–2005,16+,Animation, 1,24,Japan,Japanese,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
2022-12-14 19:25:13.713927,serie,North & South,North & South,8.6,2004,Tous publics,Drama, 1,235,United Kingdom,English,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton."
2022-12-14 19:25:36.166738,serie,The Venture Bros.,The Venture Bros.,8.6,2003–2018,16+,Animation, 7,22,United States,English,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
2022-12-14 19:26:07.673829,serie,QI,QI,8.6,2003– ,Tous publics,Comedy,20,30,United Kingdom,English,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer s..., "
2022-12-14 19:25:04.739494,serie,Trailer Park Boys,Trailer Park Boys,8.6,2001–2018,16+,Comedy,12,30,Canada,English,Three petty felons have a documentary made about their life in a trailer park.
2022-12-14 19:25:49.556877,serie,Justice League,Justice League,8.6,2001–2004,Tous publics,Animation, 2,22,United States,English,Seven of the most formidable heroes form arguably the most powerful team ever.
2022-12-14 19:25:39.990385,serie,Coupling,Coupling,8.6,2000–2004,14+,Comedy, 4,30,United Kingdom,English,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.
2022-12-14 19:25:36.971681,serie,Spaced,Spaced,8.6,1999–2001,14+,Action, 1,25,United Kingdom,English,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford."
2022-12-14 19:25:02.217484,serie,Rurouni Kenshin: Trust and Betrayal,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,8.6,1999,16+,Animation, 1,118,Japan,,"In the era of Japan's Meiji Restoration, an assassin regains his humanity."
2022-12-14 19:25:04.910113,serie,From the Earth to the Moon,From the Earth to the Moon,8.6,1998,14+,Action, 1,1,United States,,Dramatized portrayal of the Apollo manned space program.
2022-12-14 19:25:27.852450,serie,I'm Alan Partridge,I'm Alan Partridge,8.6,1997–2002,16+,Comedy, 2,29,United Kingdom,English,"Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career."
2022-12-14 19:25:16.402726,serie,Brass Eye,Brass Eye,8.6,1997–2001,16+,Comedy, 2,25,United Kingdom,,"Controversal spoof of current affairs television, and the role of celebrity in the UK."
2022-12-14 19:25:41.498436,serie,Dragon Ball,Dragon Ball,8.6,1995–2003,14+,Animation, 9,24,Japan,Japanese,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a..., "
2022-12-14 19:26:40.794989,serie,The X-Files,The X Files,8.6,1993–2018,14+,Crime,11,45,United States,English,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
